epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,446.998,1.33799,0.75107,0.80934,0.81401,0.74896,0.78741,0.45941,1.10018,0.61887,0.79961,0.00999161,0.00333054,0.00999161,0.00333054,0.00999161,0.00333054,0.00999161,0.00333054
2,802.292,1.33452,0.66104,0.80441,0.7957,0.76363,0.80115,0.48593,1.03318,0.62068,0.80039,0.0195958,0.00653193,0.0195958,0.00653193,0.0195958,0.00653193,0.0195958,0.00653193
3,1128.03,1.30325,0.64354,0.80366,0.82545,0.7704,0.81182,0.49732,1.01104,0.5922,0.80231,0.0288039,0.00960131,0.0288039,0.00960131,0.0288039,0.00960131,0.0288039,0.00960131
4,1443.6,1.20904,0.60212,0.79884,0.82393,0.78184,0.82125,0.51875,0.96633,0.56122,0.79669,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1759.01,1.1304,0.56196,0.79055,0.85056,0.7902,0.83706,0.54081,0.91686,0.5278,0.79147,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2074.2,1.08357,0.53961,0.78686,0.86028,0.78681,0.84358,0.55018,0.89046,0.51536,0.78792,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2389.58,1.04882,0.5224,0.78359,0.85973,0.79514,0.84621,0.56129,0.87443,0.49947,0.78518,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2704.97,1.02704,0.51138,0.78186,0.86176,0.79525,0.84892,0.55419,0.8682,0.4914,0.7845,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3019.82,1.00869,0.50104,0.78045,0.86113,0.79944,0.85054,0.57027,0.84927,0.48208,0.78183,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,3335.17,0.99493,0.49359,0.77835,0.86458,0.79682,0.85539,0.57619,0.84247,0.47335,0.78168,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,3650.15,0.98517,0.48812,0.77639,0.87085,0.80742,0.86037,0.58109,0.83293,0.46999,0.78014,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3965.21,0.9724,0.48152,0.77614,0.87362,0.8086,0.86325,0.58192,0.82874,0.46081,0.77854,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4280.07,0.96124,0.47657,0.77501,0.88332,0.80749,0.86543,0.58794,0.82056,0.45315,0.77804,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,4595.5,0.95287,0.47164,0.77437,0.88009,0.8064,0.86675,0.58746,0.81447,0.45069,0.77752,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,4909.71,0.95141,0.46868,0.77379,0.87502,0.8144,0.86966,0.59355,0.8092,0.44403,0.77595,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5224.69,0.94412,0.46451,0.77255,0.8702,0.82092,0.87063,0.60034,0.80115,0.44121,0.77557,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,5539.79,0.93376,0.45924,0.77255,0.8873,0.81559,0.874,0.59737,0.8035,0.44043,0.7756,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,5853.89,0.92934,0.45702,0.7716,0.88525,0.81556,0.87308,0.59758,0.7994,0.43771,0.77479,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6168.61,0.924,0.45405,0.77157,0.88968,0.81625,0.8762,0.60246,0.79523,0.43193,0.77443,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,6483.94,0.91919,0.45193,0.77102,0.87853,0.81849,0.87472,0.60234,0.79794,0.43336,0.77409,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,6798.56,0.91655,0.44903,0.77021,0.88245,0.82,0.87999,0.60416,0.79178,0.42866,0.77382,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,7113.75,0.91055,0.44508,0.76941,0.89471,0.82125,0.8803,0.60813,0.78577,0.42661,0.77285,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,7428.89,0.90518,0.44304,0.76928,0.88436,0.82363,0.87853,0.60924,0.782,0.42242,0.77262,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,7744.12,0.90114,0.44122,0.7691,0.89285,0.82012,0.88108,0.61155,0.78027,0.42008,0.77235,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,8059.15,0.89882,0.43981,0.76842,0.88087,0.82845,0.88234,0.61309,0.77991,0.42081,0.77186,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,8373.67,0.8961,0.43706,0.7686,0.89203,0.82198,0.88152,0.61335,0.7773,0.41886,0.77184,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,8689.66,0.89223,0.43486,0.76805,0.88887,0.82458,0.88199,0.61423,0.77807,0.41698,0.77159,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,9005.25,0.8874,0.43211,0.76739,0.89651,0.82333,0.88444,0.61683,0.77197,0.41298,0.77104,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,9320.65,0.88604,0.43142,0.76737,0.88745,0.83008,0.88459,0.61838,0.76892,0.41147,0.77108,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,9636.04,0.88251,0.4284,0.76664,0.88834,0.82978,0.88431,0.61986,0.7657,0.40884,0.7706,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,9951.94,0.8775,0.42656,0.76659,0.89589,0.82373,0.88505,0.62027,0.76477,0.40839,0.77014,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,10267.5,0.87609,0.42403,0.76606,0.89379,0.82453,0.885,0.62018,0.7631,0.40728,0.77013,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,10582.2,0.87062,0.42204,0.76621,0.89988,0.82285,0.88653,0.62167,0.76106,0.40505,0.76981,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10897.5,0.86687,0.41917,0.7656,0.8964,0.82551,0.88622,0.62213,0.76296,0.40477,0.76988,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,11212.9,0.86456,0.41778,0.76562,0.89209,0.82638,0.88636,0.62207,0.76209,0.40492,0.76983,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11527.1,0.85971,0.4142,0.76604,0.89532,0.82467,0.88689,0.6236,0.76082,0.40344,0.76962,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11841.7,0.85814,0.41291,0.76519,0.89268,0.82639,0.8879,0.62475,0.75767,0.40164,0.76917,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,12156.8,0.85334,0.41002,0.76466,0.88986,0.8325,0.88879,0.62585,0.75638,0.40044,0.76908,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,12473.1,0.85297,0.40837,0.76445,0.89504,0.82635,0.88809,0.62593,0.75581,0.39915,0.76897,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,12788.9,0.84714,0.40526,0.76418,0.89029,0.83257,0.88833,0.62669,0.75626,0.3992,0.76889,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,13102.5,0.78254,0.38481,0.77132,0.89404,0.83274,0.88903,0.62697,0.7552,0.39861,0.76893,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,13414.4,0.77702,0.38022,0.77115,0.89934,0.82888,0.88891,0.6278,0.75443,0.39812,0.76874,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,13727.5,0.772,0.37706,0.77078,0.89882,0.82946,0.88913,0.62768,0.75282,0.39707,0.7686,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,14038.9,0.76706,0.37406,0.77062,0.89493,0.83103,0.88913,0.6288,0.75163,0.39577,0.76851,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,14351.6,0.76432,0.37108,0.76987,0.89474,0.83296,0.88973,0.62947,0.7514,0.39484,0.76839,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
