epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3149.84,1.06702,0.56025,0.80778,0.96862,0.94215,0.97242,0.72424,0.80921,0.42648,0.79876,0.00999906,0.00333302,0.00999906,0.00333302,0.00999906,0.00333302,0.00999906,0.00333302
2,5664.65,1.05571,0.50858,0.80636,0.97263,0.94304,0.97432,0.73562,0.7835,0.41152,0.79766,0.0190091,0.00633637,0.0190091,0.00633637,0.0190091,0.00633637,0.0190091,0.00633637
3,8076.57,1.04419,0.50164,0.80732,0.96142,0.94499,0.97312,0.74039,0.76688,0.40562,0.79705,0.0270292,0.00900972,0.0270292,0.00900972,0.0270292,0.00900972,0.0270292,0.00900972
4,10461.4,0.99281,0.47718,0.80336,0.9699,0.94369,0.97461,0.75048,0.73822,0.37711,0.79149,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,12845,0.93629,0.44492,0.79627,0.97875,0.94947,0.97894,0.7658,0.70374,0.35268,0.78723,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,15228.9,0.89155,0.42072,0.79115,0.97596,0.9542,0.98086,0.77499,0.68206,0.34072,0.78468,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,17611.8,0.86681,0.40659,0.78846,0.97587,0.96045,0.98212,0.78069,0.66585,0.32898,0.78201,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,19994.1,0.84498,0.39444,0.78585,0.97828,0.96038,0.98281,0.78635,0.65345,0.31911,0.78043,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,22378.3,0.82781,0.38488,0.78416,0.97568,0.96277,0.98335,0.7898,0.64303,0.31336,0.77916,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,24761.1,0.81703,0.37798,0.78281,0.97377,0.96511,0.9838,0.79336,0.63628,0.3084,0.77806,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,27125,0.793,0.37804,0.786,0.97447,0.9615,0.98297,0.79043,0.63918,0.3104,0.77823,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,29486.8,0.78048,0.37096,0.7844,0.97912,0.96159,0.98317,0.79293,0.63472,0.30651,0.77766,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,31849,0.76982,0.3638,0.78252,0.977,0.96306,0.98348,0.79488,0.63205,0.30364,0.77684,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,34211.7,0.75985,0.35674,0.78117,0.97651,0.9631,0.98373,0.7968,0.6276,0.29973,0.77625,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,36574.3,0.74839,0.34994,0.78064,0.97761,0.96321,0.98381,0.79817,0.62383,0.29748,0.77571,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,38937.6,0.73488,0.3417,0.77884,0.97962,0.96227,0.98406,0.8,0.62033,0.2949,0.77521,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,41300.1,0.72509,0.33504,0.77832,0.97945,0.96295,0.98411,0.80125,0.61814,0.2932,0.7749,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,43663.1,0.71631,0.32862,0.77743,0.97968,0.96269,0.98413,0.80209,0.61614,0.29201,0.77459,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,46026.2,0.70656,0.32066,0.77564,0.98096,0.96246,0.98424,0.80267,0.61439,0.29061,0.77431,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,48387.1,0.69494,0.31259,0.77479,0.9816,0.96302,0.98443,0.80319,0.61312,0.28956,0.77411,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
