frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.5241312709999981,0.5241312709999981,0.0014743619999997293,0.5841543290000004,0.5630413419999876,0.5630413419999876,0.3325766489999964,0.0007205980000044576,0.0005837080000006267,6.046800000447661e-05,4.994500001131996e-05,31.0,31.0,8.920406808000003,8.905056650999999,8.878336081,8.905009706000001,0.004856554999999929,0.0308177409999999,0.010941196000000986,1.406099999812227e-05,4.337992771,3.8457031519999987,0.14428726400000258,0.054091694000000246,0.00034510400000087316,2.1526000001159673e-05,8.542699999836145e-05,0.17792376099999885,0.271123725999999,3.6279999982014033e-06,1.632800000095358e-05,6.590999998223879e-06,2.3513999998669988e-05,0.0,0.0,0.011277014000000918,0.0004721760000023778,0.0012605969999981426,3.0097999999867397e-05,1.657299999990869e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.00010086600000036583,0.015223024000000862,0.015359613000001104,0.015001493999999838,4.5275999998040106e-05,0.0037872139999990395,0.01116750300000291,21.0,1.6977000001361375e-05,0.00011961199999888095,10.045639815999998
1,0.41110797199999993,0.41110797199999993,0.00016763700000055337,0.4252826550000002,0.41903179299999493,0.41903179299999493,0.40653323999999813,9.430299999024783e-05,0.0008933529999879397,5.4628999997419214e-05,5.893500001263874e-05,32.0,32.0,11.938238398999996,11.921335840999998,11.903913194999998,11.921093708999997,0.0018455730000006554,0.020276844999997934,0.0063724409999998954,1.1497000002691493e-05,5.605235137000001,5.616913176000004,0.15349515500000166,0.060882440000000315,0.0008689119999942818,0.0003735770000048433,0.0006886879999967732,0.170654411000001,0.2657369829999965,3.4139999982585323e-06,8.85339999996404e-05,2.8260000000557284e-05,4.19100000002004e-05,7.140599999644337e-05,0.0,0.013449492999999535,6.330700000489742e-05,8.231200000352601e-05,4.346999999427226e-05,2.3403000000143948e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00021942800000118723,0.032532766000002766,0.03317181299999561,0.03172237500000108,3.361000000268177e-05,0.019944310999996162,0.011742785999999228,21.0,0.00014258699999913915,0.0004964599999937036,12.808218972000002
2,0.6902467529999967,0.6902467529999967,0.00031936799999954246,0.6300485830000042,0.6222748640000262,0.6222748640000262,0.6040814970000028,0.00011990700000552579,0.0011251969999861444,6.884100001514071e-05,6.455099998703417e-05,28.0,28.0,12.957920174000002,12.930497152000001,12.905827887999997,12.930444774999998,0.001716874000003088,0.022146878000000925,0.016584885000000327,1.895900000192796e-05,6.3339037550000015,5.490694054000002,0.199036827999997,0.07582819999999657,0.00040153799999842477,2.5306000004832185e-05,0.0001489320000018779,0.2561194740000019,0.5089681350000035,4.231999994885882e-06,1.991699999592811e-05,9.747000000004391e-06,3.315600000064478e-05,0.00010149799999936704,0.0,0.020609112999999013,2.328299999732053e-05,9.634399999924881e-05,2.3510999994869053e-05,1.757399999746667e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,9.524300000407493e-05,0.026109138999999004,0.026275452999996673,0.025870335000000466,3.828699999530727e-05,0.017234498999997072,0.008596292999996535,21.0,2.1502999999256645e-05,0.00014481099999841263,14.304921966999999
3,0.6672871390000026,0.6672871390000026,0.00021539099999756672,0.5487253020000011,0.5415759469999912,0.5415759469999912,0.5267169099999833,9.780499999578751e-05,0.001001755000004323,6.8540000000894e-05,9.228599999744347e-05,32.0,32.0,10.113361441000002,10.096187102000002,10.072966867999995,10.096133142999996,0.001680893999996158,0.021873384999999246,0.006996788000002141,1.1473999997235751e-05,4.295085716999999,5.145587053999996,0.1397470229999982,0.07248633600001142,0.00040250600000035774,2.9429999997887535e-05,0.00010384700000543035,0.15217963000000623,0.23660390999999947,3.219999996417755e-06,1.8189000002166722e-05,7.207999999536696e-06,2.4736000000302738e-05,0.00013960600000473278,0.0,0.013937395999995772,2.8092999997397783e-05,8.303900000328213e-05,2.4995000003968926e-05,2.0199999994474638e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00017895199999884426,0.02000468100000319,0.020185820999998327,0.0197949170000129,3.987600000243674e-05,0.011319130000003952,0.008434609000005366,21.0,2.02039999948056e-05,0.00016093600000033348,11.349968433000008
4,0.5155095069999902,0.5155095069999902,0.0001976909999967802,0.46720653600000617,0.4611200520000125,0.4611200520000125,0.4485713190000098,8.23230000150943e-05,0.0009159450000026936,6.073100004755361e-05,6.138200006944317e-05,31.0,31.0,12.142306387999994,12.128200319000001,12.110732236999993,12.128166608,0.0014921870000108584,0.018543397999991384,0.007298828000003255,1.367699999832439e-05,4.787567475000003,6.682002259000001,0.14086452400000837,0.055491298999996275,0.0003192060000003494,1.987699999972392e-05,8.131900000307724e-05,0.15116469599999505,0.26574489000000767,2.9039999986935072e-06,1.4493999998421714e-05,6.1679999987518386e-06,2.209100000527542e-05,7.173000000193497e-05,0.0,0.01230773700000043,1.7938000013373312e-05,8.013100000425766e-05,1.554700000383491e-05,1.2541999993231912e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,9.119899999632253e-05,0.018391957999995157,0.018539864999979727,0.018196673000005603,2.6685000008797033e-05,0.010796546999998213,0.00737236899999516,21.0,1.6063999993320977e-05,0.0001318429999912496,13.143863256999992
5,0.38005945999999824,0.38005945999999824,0.00016340199999831384,0.36625792600000295,0.36101813900002355,0.36101813900002355,0.3504774820000307,7.018599993102725e-05,0.0007479349999925944,5.084999993698602e-05,5.1217000020642445e-05,27.0,27.0,9.916419629999993,9.902740500000007,9.884933286999996,9.902707450999998,0.001473183999991079,0.017608510999991722,0.007348414000006187,1.8112000006453854e-05,4.433993302000005,4.734142173999999,0.16088135799999748,0.0599264479999988,0.00037839799999517254,2.7302000006557137e-05,9.01349999935519e-05,0.16826584800000433,0.30063564200000314,3.610999996794817e-06,1.6148999989695767e-05,6.682999995177852e-06,2.5832999995145656e-05,7.18109999979788e-05,0.0,0.012009136000003195,1.748900000109188e-05,5.228900000986414e-05,1.5235999995866223e-05,1.0088999999879888e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,5.203099999562255e-05,0.020543379000002915,0.02227296099999876,0.0203414700000053,2.0208000009347415e-05,0.011913118999999028,0.008406750999995438,21.0,0.0015877310000007583,0.00014185099999508566,10.685238903999988
6,0.46533636499999886,0.46533636499999886,0.00020726600000386952,0.4560004879999866,0.4500534150000277,0.4500534150000277,0.4370264210000414,8.257599999694776e-05,0.0009111189999657654,5.766300000686897e-05,5.912100002092302e-05,30.0,30.0,8.565272394000004,8.550886571000007,8.532364051000002,8.550852765000002,0.0016512410000046884,0.01914808699999071,0.00743500599999436,1.3572000000294793e-05,4.085143283000008,3.8239477040000054,0.13200142099999823,0.056582276999989745,0.00032213900000499507,1.929699999436707e-05,8.274700000754365e-05,0.14956531900000414,0.2563154679999968,3.3209999941163915e-06,1.5579000006482602e-05,6.7720000060944585e-06,2.387499999656484e-05,6.80300000084344e-05,0.0,0.013017270000005965,1.7820000010715376e-05,8.087899999509318e-05,1.570800000649797e-05,1.3100999993298501e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,5.5644999989112875e-05,0.01929543800000033,0.02200639899999146,0.019101167000002306,1.9493000010584183e-05,0.011495257000007086,0.007584887999996681,20.0,0.0024866889999941577,0.00022427199999697223,9.508892691
7,0.403464783000004,0.403464783000004,0.00016020999999000196,0.3837279040000112,0.37839332200000797,0.37839332200000797,0.36718784499998947,7.191999996791765e-05,0.0007819409999996196,5.148300000712425e-05,5.4202999990593526e-05,28.0,28.0,8.97096525900001,8.953429208000003,8.933167014000006,8.95338799599999,0.0016189269999955513,0.017493458000004125,0.006000552999992692,1.0957000000644257e-05,4.251109580999994,4.07467080699999,0.12877962700000012,0.05640588199999286,0.00033880499999838776,2.72360000082017e-05,9.487100000171722e-05,0.14857207500000413,0.24791140799999312,3.401000000735621e-06,1.669399999570942e-05,6.811000005768619e-06,2.7041999999255495e-05,7.127799999295803e-05,0.0,0.014719169000002807,1.882200000125067e-05,6.893100000127106e-05,1.4872999997805891e-05,1.2123999994173573e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,6.061199999862765e-05,0.017666719000004605,0.02018939300002387,0.01745902599999738,1.927899999998317e-05,0.010270602999995049,0.007168096000000901,20.0,0.0023694000000062942,0.00015327400001297065,9.778580732999998
8,0.40101242400000103,0.40101242400000103,0.0001717020000029379,0.4167182869999948,0.411258310999969,0.411258310999969,0.3998987620000207,7.713200004388909e-05,0.0007984029999761333,5.3217000058225494e-05,5.532999995239152e-05,29.0,29.0,8.713262300000011,8.698876433999999,8.67469059199999,8.698840314999998,0.001622787999991715,0.021158108000008724,0.007889215000005834,1.3035999998578518e-05,3.6229079040000016,4.375917799999996,0.13460769399999606,0.0621675569999951,0.00037001399999780915,2.510399998811863e-05,9.438300000397248e-05,0.17594776600000728,0.27183011399999657,3.978999998821564e-06,1.7943999992553472e-05,7.361000001537832e-06,2.6191000003450426e-05,8.482600000547791e-05,0.0,0.01274494399999071,2.0395999996480896e-05,6.081599998708498e-05,1.5439999998534404e-05,1.3199999997937084e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,6.075800000360232e-05,0.01861664099999416,0.021642650000003982,0.0184200919999995,2.0947999999521016e-05,0.011031107999997403,0.007366564999998104,19.0,0.002800923999998872,0.00022508500001094944,9.552884732999999
9,0.47996974599999476,0.47996974599999476,0.00019721099999969738,0.512736720999996,0.5055946820000372,0.5055946820000372,0.4913358699999293,0.00010527000000593034,0.0010021199999812325,6.021499996222701e-05,6.759700002589852e-05,32.0,32.0,8.818719144999989,8.800643856999997,8.779601487999997,8.800595539000014,0.0023343980000021247,0.02279030699999396,0.007121650000001978,1.0689000006891547e-05,4.061754162,4.066058467000005,0.1366885760000116,0.06086173799999983,0.0003481610000051205,2.2951999994802463e-05,8.977900000672889e-05,0.16017789599999332,0.26120108399999253,3.165000009630603e-06,1.6212999980780296e-05,7.3340000028565555e-06,2.5410000006331757e-05,0.00010132700001008743,0.0,0.01588549599999567,2.3463000019319225e-05,7.486199999107157e-05,2.370600000745071e-05,2.0074999980579378e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,9.71329999970294e-05,0.020264024999988806,0.022945359999994253,0.020065840999990314,3.474199999686789e-05,0.011531935999983034,0.008497855000001664,20.0,0.0025309010000000853,0.00015043400000536167,9.834679954999984
