frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.6019774049999995,0.6019774049999995,0.0012642569999989917,0.599815876000001,0.5840857130000003,0.5840857130000003,0.35964039599999964,0.0005317400000066641,0.0005551720000056548,4.1027999998277664e-05,4.229899999330655e-05,31.0,26.0,0.0,26.0,5.0,11.403341794,11.389328929000001,11.354765002,11.389267354000001,0.0015339740000008817,0.01980887499999895,0.013672766999999197,1.5103999999155349e-05,5.397387663,5.156277744999997,0.18648758500000184,0.06432530100000022,0.001031721000000374,2.7316000000610074e-05,0.00016557600000055572,0.17294768700000063,0.3409438350000009,3.3779999988325926e-06,1.6911999999535965e-05,6.624999997484338e-06,2.4064000001544628e-05,0.0,0.0,0.01120219399999911,0.0005566170000008697,0.0004938219999992555,2.7309000000030892e-05,2.3874000000034812e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0002249849999991227,0.014977822000002305,0.015162619999998128,0.014725544000000923,4.639000000139504e-05,0.005295958999997907,0.009381626999999781,21.0,2.0245999998280695e-05,0.000164551999997542,12.622282644999999
1,0.5613788940000006,0.5613788940000006,0.00023779399999668271,0.06924380599999935,0.06607513699999856,0.06607513699999856,0.0644864909999967,1.0107000001369215e-05,9.973599999923977e-05,7.611999997436669e-06,6.710000004517269e-06,32.0,27.0,24.0,3.0,5.0,9.438567403999997,9.422820923000003,9.404750309,9.422785946000001,0.0015550650000015764,0.03729762100000045,0.012713962999999495,1.2664999999856263e-05,4.906878622000001,3.909967830999996,0.1332628629999988,0.05895003899999551,0.0003243219999973235,2.1528999994302467e-05,8.264500000620956e-05,0.11607676099999509,0.22746912499999894,2.6479999988282543e-06,1.5015999998979623e-05,6.439000003410911e-06,2.2770000001059998e-05,7.762500000296768e-05,0.0,0.013305216999999203,1.8372999996074668e-05,5.024299999689674e-05,1.3793000000816846e-05,1.1996999994323687e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012187899999815954,0.024569051000000286,0.02472228199999904,0.024396921999993992,2.0841999997855964e-05,0.015684112999998945,0.008690698000002328,21.0,1.574999999576221e-05,0.00013748100000299246,10.098049679999999
2,0.4206730880000009,0.4206730880000009,0.00018622000000334538,0.029915653999999847,0.027169680999996615,0.027169680999996615,0.026302172000008284,6.660000003932964e-06,6.0108999996089096e-05,6.157000001394408e-06,5.426999997837356e-06,28.0,24.0,22.0,2.0,4.0,8.081284499999995,8.063441355999998,8.047978075000003,8.063409702999998,0.0019017830000009894,0.026991641000002176,0.01405214900000118,1.2726999997880739e-05,3.8570111729999965,3.624460286999998,0.1296663740000028,0.05776659900000425,0.0003255009999989511,2.131899999824327e-05,8.372199999939767e-05,0.11028715700000191,0.22526811200000196,2.992999995399259e-06,1.7368999998268464e-05,6.678000005422291e-06,2.5319999998885123e-05,6.585500000255706e-05,0.0,0.01629219299999818,1.75049999953103e-05,4.595400000084737e-05,1.3340000002415309e-05,1.0210999995763359e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011473400000028278,0.016112487000000897,0.016254811999999674,0.01595696900000121,2.3561999995536098e-05,0.009012368999997022,0.0069200519999981225,21.0,1.4704999998116364e-05,0.0001276200000006611,8.552020808000002
3,0.3834921609999995,0.3834921609999995,0.00024062800000024254,0.09835778299999731,0.09503513699999644,0.09503513699999644,0.09144461000000348,1.61869999928399e-05,0.0001526110000185099,1.0065000004999547e-05,9.57500000708933e-06,32.0,27.0,22.0,5.0,5.0,8.076364511999998,8.060978176999996,8.044544170999998,8.060945116999996,0.0015021800000027952,0.017257204999999942,0.010208339000001843,1.223499999980504e-05,3.6873776660000033,3.819223929000003,0.1315748319999983,0.05531121200000655,0.00032560200000375517,2.333900000195399e-05,8.483000000580887e-05,0.1101570749999965,0.21131533500000188,3.740000003915611e-06,1.995099999874128e-05,8.783000005507802e-06,6.268600000680635e-05,7.160199999844963e-05,0.0,0.01381325400000577,1.8403999995086906e-05,4.999100000446788e-05,1.4293999996084494e-05,1.2209000004759218e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001457790000003456,0.019860051000001988,0.020050071000000003,0.019634222999997064,2.0722999998668e-05,0.009678427999993744,0.00993378799999789,21.0,2.036899999779962e-05,0.00016965100000021494,8.581319782999998
4,0.4075420890000032,0.4075420890000032,0.00016305200000488185,0.0024172939999971277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,25.0,25.0,0.0,6.0,8.044111458000003,8.025751268,8.007401794000003,8.025718294999997,0.0017268519999973364,0.021718610000000638,0.00791501100000147,1.3084999999080082e-05,3.828385537999999,3.5941193239999905,0.13593980400000305,0.05930089100000657,0.0003560769999921831,2.582700000175464e-05,9.201299999972434e-05,0.11554353799999717,0.2421325960000047,2.5740000069163216e-06,1.5634999996905208e-05,6.561999995824408e-06,2.9092999994873026e-05,7.161300000291249e-05,0.0,0.016853523000001758,1.8869000001586755e-05,5.111099999055568e-05,1.4174000000366505e-05,1.2447000003135145e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011841200000617391,0.017940701999989983,0.018094793999992476,0.017777808999994704,2.0524999996496263e-05,0.010005595999999173,0.007750588999996921,21.0,1.670400000364225e-05,0.00013738799999885032,8.475447517
5,0.40860496700000226,0.40860496700000226,0.00020121000000017375,0.030867595999993114,0.02824748700000157,0.02824748700000157,0.027359749999988026,5.902000012270037e-06,6.568199999890112e-05,6.209999995121507e-06,4.899000003888432e-06,27.0,24.0,22.0,2.0,3.0,7.914036342000003,7.895470476,7.877625445999996,7.895429962999998,0.0018984669999895232,0.024167964999989522,0.0111039079999955,1.3672999997993429e-05,3.675477479999998,3.620989023000007,0.12988722799998698,0.05778233599998828,0.0003277909999894746,2.4717000002283385e-05,7.125700000187862e-05,0.11322967400001005,0.2425261279999944,2.474000012853139e-06,1.4473000007342307e-05,6.588000005081085e-06,2.338299999848914e-05,7.342099999618767e-05,0.0,0.01699229100000821,2.2431999994410035e-05,6.433300001162934e-05,4.1006000003562804e-05,1.0665000004905778e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011294799999461702,0.01802460700000097,0.019083700999999564,0.017846033000012085,2.13129999906414e-05,0.010298933999990822,0.007524744999997779,21.0,0.0009207020000019384,0.00013839199999665652,8.375667522
6,0.40119144499999493,0.40119144499999493,0.00024431499998911477,0.0021240970000064863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,23.0,0.0,7.0,8.022359926999997,8.005009223000002,7.987785146999997,8.004976618,0.0018516410000017913,0.02159851700000104,0.008716216999999915,1.3152999997601e-05,3.7411256930000008,3.670261576999991,0.13307470899999885,0.05757340099999908,0.00040621600000179114,2.311999999449199e-05,8.882199999504792e-05,0.11494507400000487,0.23798052799999425,2.9310000115856383e-06,1.4604000000417727e-05,6.5830000011146694e-06,2.295099999116701e-05,6.938800000000356e-05,0.0,0.015714649000003078,1.7170999996096725e-05,5.0533000006680595e-05,1.3213000002565423e-05,1.2988999998242434e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011989599998685208,0.019650990000002366,0.02245785099999864,0.019471495999994204,2.2895000000744403e-05,0.01132275300000174,0.008124667000004138,20.0,0.0026580309999957308,0.0001488300000005438,8.451738724999998
7,0.4185773499999925,0.4185773499999925,0.00021792500000117343,0.0022750750000000153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,23.0,0.0,5.0,7.986232274999992,7.967467450000001,7.949876853999996,7.967432008999992,0.0018040169999977707,0.01968866900000421,0.007358980999995879,1.3481999999953587e-05,3.719886219000003,3.641321664000003,0.13243745299999432,0.05860547400000371,0.00032973700000127337,1.9484999995711405e-05,8.586599999205191e-05,0.1176246309999982,0.2505751879999991,2.894000004971531e-06,1.5275999999175838e-05,6.8599999991647564e-06,2.4183999997262617e-05,0.00012458099999435035,0.0,0.017051316000006977,2.6481000006128852e-05,5.656300000111969e-05,5.400599999916267e-05,1.9378999994046353e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00015461600000321596,0.01768411499999445,0.02022862099997269,0.01750104200000635,2.8065999998716507e-05,0.010465136000007647,0.007006490999998505,20.0,0.002403469999990193,0.0001410359999880484,8.430328516999992
8,0.4059473419999904,0.4059473419999904,0.0002890089999993961,0.025051407999995945,0.022373694000009436,0.022373694000009436,0.021851703999999472,3.369000012298784e-06,3.457699999387387e-05,3.481000007354851e-06,2.1879999962948204e-06,29.0,24.0,23.0,1.0,5.0,8.122172716999998,8.103406286999999,8.086696887000002,8.103362165000007,0.0017030089999963138,0.02635150199999714,0.012746735000007448,1.3093999996272032e-05,3.839862077999996,3.648344125999998,0.1338659360000065,0.058460914999997726,0.0003387770000102819,2.2530000009624018e-05,8.714099999451719e-05,0.11741758200000163,0.2473405259999879,2.7889999927310782e-06,1.4758000006054317e-05,6.1759999994137615e-06,2.3163999998132567e-05,0.00010639500000308999,0.0,0.016877440000001798,2.7163999988033538e-05,7.169799999928728e-05,3.2672999992655605e-05,1.9030999993674413e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012285799999744995,0.019018826999996463,0.021449369999984924,0.018843226000001323,2.4502000002257773e-05,0.011536617999993837,0.007281050999992544,20.0,0.002290999999999599,0.000139542999988862,8.57807527899999
9,0.40171086299999104,0.40171086299999104,0.00019089999999266638,0.019631059999994704,0.01735955499999875,0.01735955499999875,0.016904049000004306,2.5789999966718824e-06,2.6274999996189763e-05,3.806999998801075e-06,2.446999999961008e-06,32.0,26.0,25.0,1.0,6.0,11.362925218,11.343738470000005,11.322402265999997,11.343480854999996,0.001844636999990712,0.02380386999999473,0.010871038000004773,1.3457999997967818e-05,3.8010222220000003,6.295374538999994,0.292203819000008,0.08316803299999265,0.0006636510000106455,0.0002961560000045438,0.00038499900000488196,0.1855407820000039,0.6270472079999934,2.9139999924154836e-06,2.963500000419117e-05,1.72849999984237e-05,2.3283999993850557e-05,0.00012240500001325927,0.0,0.016350536999993892,6.816799999853629e-05,8.435599998790622e-05,2.3205999994502235e-05,2.1831999987398376e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00048075600000174745,0.02556821400000331,0.029221953000018175,0.024248563000000445,5.423000000348566e-05,0.015461485000002995,0.008731290000000058,21.0,0.0034212190000033615,0.00023252000001150464,11.818078580999995
