frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,raw_tracker_unique_count,raw_tracker_id_zero_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.43882510199999913,0.43882510199999913,0.00019358700000005058,0.4949953159999989,0.4900551820000043,0.4900551820000043,0.26980800299999963,0.0002931549999960481,0.00046209299999588893,3.60439999997908e-05,3.702999999966039e-05,31.0,26.0,0.0,26.0,5.0,9.146619667000001,9.135346582,9.113442276999999,9.135257668,0.0013187529999996173,0.01692334200000012,0.007565579999999628,1.1557000000550488e-05,4.401457027999999,4.097664603000002,0.13029520099999914,0.05653246500000009,0.0003944429999975796,5.397700000031591e-05,0.0002415860000013481,0.1565866360000001,0.24398974400000029,2.7180000010673666e-06,7.004299999735508e-05,6.6909999993924885e-06,2.3769000002005214e-05,0.0,0.0,0.009458004000000741,3.2755999999523056e-05,0.00011131600000169328,1.7256999999659683e-05,1.2297999997912257e-05,1.0,24.0,2.0,1.0,0.0,0.0,0.0,0.00025514600000065,0.011464363999998284,0.012681551000000013,0.011196204000000876,4.050400000110699e-05,0.002957999999999572,0.008196443999999303,21.0,21.0,1.0,0.0009492729999998062,0.0002679140000019231,10.093722197
1,0.44265816800000124,0.44265816800000124,0.0002194600000002822,0.40843809699999767,0.40160756099998096,0.40160756099998096,0.39011427799998444,8.786400001525863e-05,0.0008275829999959683,5.191999999709651e-05,6.828199999375784e-05,32.0,27.0,0.0,27.0,5.0,8.195946990000003,8.181335711000003,8.165227865999999,8.181301288,0.0014849629999993397,0.021029295999998254,0.007362314999998176,1.1960000001920434e-05,3.8597502519999978,3.732543566999997,0.12783994800000187,0.057536545000004935,0.00038349599999776274,2.5442999998404048e-05,0.00010717600000020866,0.13460321600000213,0.22236061400000295,3.144999993764941e-06,1.4893999995990725e-05,5.8529999975576175e-06,2.1265999997410745e-05,6.553500000450185e-05,0.0,0.012093228999997763,1.6070000000922846e-05,4.638499999742862e-05,1.2368999996681396e-05,1.139599999788743e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001185670000012351,0.017546250000002317,0.01991261299999536,0.017369760000001122,1.7206000002545352e-05,0.009158460000001867,0.008192766000000518,21.0,21.0,1.0,0.0022361239999995064,0.00013023899999353716,9.067588454
2,0.38109396800000184,0.38109396800000184,0.00016610600000177556,0.34699120899999514,0.3416911739999975,0.3416911739999975,0.3319183369999976,7.239400001424201e-05,0.0007176559999919618,4.341800000418061e-05,4.527600000159282e-05,28.0,24.0,0.0,24.0,4.0,8.389256379000003,8.373334280999998,8.357234978999998,8.373300094000001,0.0015666349999960971,0.02016804800000216,0.0075399259999997525,1.1878999998771178e-05,3.975229200000001,3.7733197290000007,0.14081301399999546,0.06098281599999922,0.00036435900000242327,2.5845000003243968e-05,8.815600000389168e-05,0.136205523000001,0.24079036300000212,2.4240000016106933e-06,1.4085000003660753e-05,6.162000005360824e-06,2.102799999903482e-05,6.241499999504185e-05,0.0,0.014179948999995418,1.806300000595229e-05,4.887700000466566e-05,1.2558999998191211e-05,1.0326000001725788e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00010795100000393631,0.016703872000000786,0.01903748200000166,0.016535457999999892,1.812400000034131e-05,0.0096608209999971,0.006855534000003161,21.0,21.0,1.0,0.0021980900000002634,0.0001355200000006107,9.136862405000002
3,0.3896533699999978,0.3896533699999978,0.00018429800000063778,0.3730700230000039,0.36776411199998904,0.36776411199998904,0.3574519049999978,7.50710000048116e-05,0.0007138599999834128,4.577400000727039e-05,4.906999998866013e-05,32.0,27.0,0.0,27.0,5.0,8.129546635999993,8.115225026000005,8.094599946999999,8.115190462999998,0.0015790109999969104,0.01864987500000126,0.006350128000001121,1.1072999996031285e-05,3.694479496999996,3.8102589359999968,0.1348472840000028,0.05676160200000169,0.0003620730000051253,2.3151000000609656e-05,9.123599999583121e-05,0.13730120800000378,0.23375666799999806,2.6459999986627736e-06,1.4628999998933523e-05,6.135000006679547e-06,2.2647000001541073e-05,7.355599999669948e-05,0.0,0.01287493699999942,1.8941000000438635e-05,5.208299999992505e-05,1.3533999997150659e-05,1.1591999999893687e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00012209199999801967,0.01810227100000361,0.020557704000005117,0.017919714000001363,1.847200000071325e-05,0.009697075999994809,0.00820292699999925,21.0,21.0,1.0,0.0023246340000042665,0.0001307989999972392,8.913308547
4,0.3999795559999981,0.3999795559999981,0.00015676299999967114,0.3709234969999997,0.3655608699999888,0.3655608699999888,0.3556016400000246,7.26319999770908e-05,0.0007044489999969983,4.526400000770536e-05,4.927600001281007e-05,31.0,25.0,0.0,25.0,6.0,7.8809861710000035,7.8671791760000005,7.8515447300000005,7.867144319000005,0.0016049540000011575,0.020226295000000505,0.007123029999995367,1.0324000001560307e-05,3.5790854979999978,3.6657486510000012,0.13218437199999755,0.05543801200000331,0.0003649969999983682,3.2085000000847685e-05,0.00010306200000087529,0.1391207329999986,0.25037732300000215,2.915000003156365e-06,1.454899999941972e-05,6.674999994515929e-06,2.171500000258675e-05,6.693799999624162e-05,0.0,0.012136722999997573,1.82780000059779e-05,4.76350000013781e-05,1.3017000000559165e-05,1.1856000000420863e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001137309999990066,0.018127786999997397,0.02127511399999804,0.01795427999999788,1.9295000001307017e-05,0.010480646999994292,0.0074532929999975295,21.0,21.0,1.0,0.0030024630000013985,0.00014486399999924515,8.673702614999996
5,0.39411495200000246,0.39411495200000246,0.00015838600000250835,0.339979667999998,0.335059660000006,0.335059660000006,0.32553905900000046,6.899599999599104e-05,0.0006761709999878462,4.302499999653264e-05,4.5861999979024404e-05,27.0,24.0,0.0,24.0,3.0,8.069888246999994,8.054647535000008,8.03635825,8.054611559000001,0.0017234310000020514,0.018403259999999477,0.006600996999999609,1.154300000649755e-05,3.628111767000007,3.800961301000001,0.12869386399999883,0.06052929599999857,0.00031622699999900306,1.7670000005409747e-05,8.394199998917884e-05,0.14515439000000185,0.24561904100001186,2.741000002970395e-06,1.6590999990739874e-05,6.697000003441644e-06,2.331500000707365e-05,7.47649999937039e-05,0.0,0.013591490999999678,2.43359999956283e-05,6.50599999971746e-05,1.7988999999829502e-05,1.3137999999912608e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00019704200001058325,0.02042308900000478,0.02352516500000945,0.020243699000005222,3.382599999213198e-05,0.012678528999998662,0.007530239999994137,21.0,21.0,0.0,0.00296854600000529,0.0001335299999993822,8.828038120999999
6,0.42394332599999984,0.42394332599999984,0.00019749199999807843,0.35818532999999775,0.35324779400004047,0.35324779400004047,0.3438022779999841,6.448300001693497e-05,0.0006757349999730877,4.269400000112e-05,5.274799997323498e-05,30.0,23.0,0.0,23.0,7.0,8.145360029999992,8.130577184000003,8.112282273000005,8.130528588999994,0.0016594899999944346,0.01948680799999636,0.008410691000008796,1.204199999449429e-05,3.618073188000011,3.890672539999997,0.1305084699999952,0.05555987799999684,0.0003569129999902998,2.1489999994628306e-05,8.886499999505304e-05,0.14200214000000244,0.2452993110000108,2.6769999976750114e-06,1.412700000003042e-05,6.001000002697765e-06,2.201400000956255e-05,0.00010370399999715119,0.0,0.01313760399999353,2.397499999062802e-05,8.773000000417142e-05,1.492599999153299e-05,1.4952000000789667e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00010950300000445168,0.016865715999998088,0.019303066000006197,0.016690995000004705,2.0831000000498534e-05,0.010234461999999667,0.006434812999998485,20.0,20.0,0.0,0.0023014340000031552,0.00013591600000495418,8.947262913999992
7,0.3962357360000084,0.3962357360000084,0.00025585200000932673,0.34217580499999656,0.3366570700000153,0.3366570700000153,0.32709908999996173,6.755500004373971e-05,0.0006672969999215184,4.383699999266355e-05,4.599999996912629e-05,28.0,23.0,0.0,23.0,5.0,8.091875403000003,8.077886096,8.060965287999991,8.077839400999991,0.0019074230000057923,0.019964809999990507,0.006445005000003334,9.950999995567145e-06,3.6909708360000053,3.7464945090000015,0.13755096900000297,0.05689862900000264,0.0003228839999991351,2.227199999538243e-05,8.836300000325537e-05,0.14956514200000015,0.2505956109999943,3.046999992761812e-06,1.498199999616645e-05,6.325999990508535e-06,2.2599000004674963e-05,0.00010094299999252598,0.0,0.012428563000000281,2.0153999997774008e-05,5.5826999997066196e-05,1.3361999990024742e-05,1.1522000008312716e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00011159999999676984,0.017013293000005092,0.019318848000011712,0.016833617000003187,1.982200001293677e-05,0.010064745999997626,0.006748029999997129,20.0,20.0,0.0,0.0021735180000064247,0.0001320370000001958,8.850187431000009
8,0.39212142799999583,0.39212142799999583,0.00015746999999066702,0.3581589310000055,0.3527210659999582,0.3527210659999582,0.34200309699997433,7.231499998283653e-05,0.000751015000020061,4.667999998275718e-05,4.8372999984280796e-05,29.0,24.0,0.0,24.0,5.0,8.218565462,8.204811735999996,8.187779770000006,8.204776715999998,0.0016874039999947854,0.021332446999991816,0.0084231740000007,1.2346000005436508e-05,3.746170590999995,3.8027835119999907,0.13397588600000176,0.058170734000000834,0.00034752000000537464,2.315499999383519e-05,9.003899999981968e-05,0.15108777000000373,0.26354431400000067,2.880000010918593e-06,1.5782999994939928e-05,6.343999999103289e-06,2.3560000002476045e-05,7.723199999531971e-05,0.0,0.012086570999997548,5.350099999645863e-05,6.783700000312365e-05,2.201400000956255e-05,1.7772999996168437e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00013753099999291862,0.018181103999992843,0.02099169599999584,0.017931028000006677,2.457899999797064e-05,0.01113787699999591,0.006767346000003727,19.0,19.0,0.0,0.0026603980000032834,0.00015019399999971483,8.990296207
9,0.4135426790000025,0.4135426790000025,0.00023610600000267823,0.4376885290000132,0.4316414110000153,0.4316414110000153,0.4197547969999391,8.345999995640341e-05,0.0008220640000331514,5.3393999991158125e-05,5.5308000042941785e-05,32.0,26.0,0.0,26.0,6.0,8.405005697999997,8.389994488999989,8.370645181,8.389946025,0.0016929180000033739,0.019032565999992812,0.007840345999994724,1.5247000007434508e-05,3.8626795480000027,3.858935195000001,0.13895478400000627,0.06036783200001139,0.0004089010000001281,4.044300000316525e-05,0.00012926300000515312,0.15494793099999526,0.2654540240000074,3.4849999934749576e-06,1.627100000689552e-05,6.829000000152519e-06,2.5500999996097562e-05,8.696100000804563e-05,0.0,0.01358059800000433,2.201499999898715e-05,5.909699999051554e-05,1.5590000003840032e-05,1.4204999999378742e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001363419999904636,0.018960168999996085,0.022149228000003518,0.018775395999995226,2.1025999998869338e-05,0.010578970000011623,0.008174231999987569,20.0,20.0,0.0,0.0029722339999977976,0.000216825000009635,9.27900185
