frame_index,detection_fetch_s,detection_inference_s,detections_to_sv_s,team_detection_s,team_kmeans_s,team_clustering_s,team_kmeans_fit_s,team_color_update_s,team_assign_s,team_crop_player_s,team_crop_shirt_s,team_objects_count,team_objects_valid_crop_count,team_reused_count,team_kmeans_computed_count,team_kmeans_skipped_count,field_projection_s,field_homography_estimation_s,field_pnl_total_s,field_pnl_streaming_total_s,field_pnl_preprocess_color_convert_s,field_pnl_preprocess_tensor_build_s,field_pnl_preprocess_resize_s,field_pnl_preprocess_to_device_s,field_pnl_model_kp_inference_s,field_pnl_model_line_inference_s,field_pnl_decode_keypoints_s,field_pnl_decode_lines_s,field_pnl_complete_keypoints_s,field_pnl_calibrator_init_s,field_pnl_calibrator_update_s,field_pnl_ground_voting_s,field_pnl_camera_voting_s,field_pnl_homography_select_s,field_pnl_centered_to_field_s,field_pnl_template_homography_s,field_pnl_projection_matrix_s,field_pnl_temporal_smoothing_s,field_pnl_previous_fallback_s,field_resize_s,field_project_points_s,field_ground_points_s,field_scale_points_s,field_class_filter_s,field_has_homography,field_pnl_visible_keypoints_count,field_pnl_visible_lines_count,field_pnl_used_ground_solution,field_pnl_used_camera_fallback,field_pnl_temporal_smoothed,field_pnl_previous_fallback_applied,metadata_pack_s,canonical_cleanup_s,canonical_removed_count,canonical_active_count,canonical_recent_player_count,canonical_recent_goalkeeper_count,canonical_recent_referee_count,pending_total_count,pending_reassigned_existing_count,pending_new_id_count,pending_dropped_class_limit_count,pending_dropped_no_free_id_count,raw_mapping_grace_used_count,raw_mapping_rejected_count,tracker_update_s,track_total_s,bytetrack_total_s,bytetrack_preprocess_s,bytetrack_update_tensors_s,bytetrack_output_match_s,bytetrack_tracks_output_count,raw_tracker_unique_count,raw_tracker_id_zero_count,id_assignment_s,ball_fallback_s,frame_total_s
0,0.6148116240000014,0.6148116240000014,0.00019752699999742163,0.57565344,0.5694565469999979,0.5694565469999979,0.30787375200000255,0.00038390000000276814,0.0005791640000083476,4.412499999162378e-05,4.311400000034382e-05,28.0,22.0,0.0,22.0,6.0,9.244369853000002,9.231659264000001,9.208851367999998,9.231578647000003,0.0016827460000001793,0.020912083999998998,0.009818010000000044,1.7077999999060012e-05,4.702301764999998,3.8614639260000025,0.13676392400000026,0.05978513000000163,0.00045353700000205777,5.6452999999123676e-05,0.00014876299999855291,0.15226811699999843,0.262979786999999,2.945999998615889e-06,7.329299999980776e-05,7.590999999251835e-06,2.649800000043001e-05,0.0,0.0,0.011509792999998325,3.258499999958531e-05,0.00010436899999888283,2.155900000033739e-05,1.4211999999957925e-05,1.0,24.0,1.0,1.0,0.0,0.0,0.0,0.00033888400000137153,7.622000001816787e-06,0.0,22.0,20.0,0.0,2.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.011668266999997456,0.01310993599999577,0.011435183999999765,2.8511000000008835e-05,0.002879193000001834,0.008526159000002309,22.0,22.0,0.0,0.0012841619999974796,0.00015750700000083384,10.448715405000002
1,0.48159148399999907,0.48159148399999907,0.00020573100000120803,0.39516857500000313,0.3893407509999989,0.3893407509999989,0.3686073739999891,7.892700000766695e-05,0.0007803879999954688,4.4868000003361885e-05,5.4459999997646946e-05,27.0,22.0,0.0,22.0,5.0,10.240402349,10.221113602000003,10.200206557999998,10.221064796000004,0.0019664060000010863,0.021462063000001308,0.010157119999998798,1.6416999997659332e-05,4.571630615999997,4.866634502000004,0.17473746399999612,0.07487763900000033,0.0004115830000017695,2.66129999957343e-05,9.887499999905458e-05,0.17679276599999838,0.30124125799999746,3.42500000272139e-06,1.865299999792569e-05,8.727000000874341e-06,2.965699999890603e-05,8.852199999864752e-05,0.0,0.017303343999998333,2.373099999886108e-05,6.307099999958155e-05,1.7538000001593446e-05,1.4076000006468803e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001321419999982254,2.179300000193507e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024259186999998406,0.027604746000001512,0.024031569999998226,2.500299999752542e-05,0.013085051000004455,0.01092006600000417,22.0,22.0,0.0,0.0031940430000005904,0.0001515160000025162,11.145375082999998
2,0.5460951920000028,0.5460951920000028,0.00020247800000561256,0.4805655910000013,0.47345112499998976,0.47345112499998976,0.4606348020000013,9.070700001956311e-05,0.0008828340000235357,5.626199997976755e-05,6.082699998444241e-05,28.0,23.0,0.0,23.0,5.0,11.710034184999998,11.693016782999997,11.67033636,11.692975671,0.001998712999998986,0.028902784999999653,0.011863260999994907,1.8142999998360665e-05,5.694266044999999,5.176250171999996,0.17859060199999988,0.0771178810000066,0.0004213659999976471,2.5713999995957693e-05,0.00010367699999846991,0.18685251899999855,0.31376672399999705,4.06899999916277e-06,1.965100000234088e-05,8.909000001722234e-06,3.22579999973982e-05,8.728899999965734e-05,0.0,0.014806601000003639,2.168400000357451e-05,6.328799999977264e-05,1.807200000314424e-05,1.5374999996708993e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00014728299999688943,2.1922000001950437e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024976350999999397,0.029049272000001736,0.024734449000000325,2.572300000025507e-05,0.014398415000002274,0.010308673000004376,22.0,22.0,0.0,0.0038113009999989345,0.00026162000000340413,12.766373295000001
3,0.553618464000003,0.553618464000003,0.00020551200000085146,0.5141530989999978,0.5073895730000189,0.5073895730000189,0.493846132999991,8.79620000020509e-05,0.0008956630000014343,5.9138000011671465e-05,6.341899998574263e-05,29.0,24.0,0.0,24.0,5.0,11.853333232999994,11.829660475000004,11.800494831999991,11.829618491999994,0.002860400999999513,0.0280216299999978,0.014244118000000583,1.8330000003174973e-05,5.609541301,5.354530928999999,0.18368321399999843,0.08242447499999628,0.0003954299999975319,4.565099999354061e-05,0.00011626699999567336,0.19077499999999503,0.33367061599999914,3.977000005761511e-06,2.09600000005139e-05,9.644000002140274e-06,3.3133000002294466e-05,9.281099998759146e-05,0.0,0.021570931999995935,2.242600000101902e-05,7.100000000548334e-05,2.0012000007341157e-05,1.56679999889775e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00015734200000849796,2.5104999998859512e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028895435000009684,0.03263330600000813,0.0286470879999996,2.6872000006505914e-05,0.015774865000011573,0.012843728999996529,22.0,22.0,0.0,0.003571178000001396,0.00016669299999705345,12.954385454999993
4,0.5853595569999896,0.5853595569999896,0.00025674999999125703,0.5222606510000105,0.5144779840000098,0.5144779840000098,0.49974049800003684,9.964400005912921e-05,0.001028803000039602,5.945499992776604e-05,0.00010060399996802971,28.0,23.0,0.0,23.0,5.0,12.063824549999993,12.045579380999996,12.023131227000007,12.045538343999993,0.003143704999999386,0.030037450999998327,0.013696546000005583,1.8906999997625462e-05,5.541680060999994,5.647809875999997,0.18350288799999248,0.0792906149999908,0.0006453560000068137,3.037499999436477e-05,0.0001478939999941531,0.19275224300000104,0.33020492500000387,4.060999998500847e-06,1.9930999997086474e-05,9.461000004762354e-06,3.3020000003602945e-05,8.897600000068451e-05,0.0,0.016250053999996794,2.3881999993591307e-05,6.725200000801124e-05,2.017900000339523e-05,1.5653000005499962e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00014952000000789667,2.5782999998114065e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026410730000009153,0.030219345000006115,0.026157251999990194,2.457899999797064e-05,0.014038773999999421,0.01209233999999526,22.0,22.0,0.0,0.003635295999998789,0.00017331899999817324,13.20237939399999
5,0.5678697839999955,0.5678697839999955,0.0002436550000055604,0.524497150000002,0.5160909099999458,0.5160909099999458,0.5019550580000072,9.686599999270129e-05,0.0009831090000460563,6.683200000168199e-05,6.907900001351663e-05,28.0,23.0,0.0,23.0,5.0,13.509011975999996,13.487591331000004,13.463408265999988,13.487536882,0.002269205000004604,0.02726212299999986,0.01001824399999407,2.3807000005149348e-05,6.505307058,6.084153317999991,0.20027328899999475,0.08645788600000515,0.00043232699999862234,2.5934000007055147e-05,0.00010822199999438453,0.20056316699999854,0.3463331949999997,4.531000001861685e-06,2.62539999908995e-05,1.0355999989997144e-05,3.518799999824296e-05,0.00011411199999145083,0.0,0.01905799400000774,2.9408000003172674e-05,8.809199999859629e-05,2.5295000000369328e-05,2.364600000248629e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00017622000000017124,8.429899999384816e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027279425999992668,0.03161118800001361,0.027032771000008893,3.407100000174523e-05,0.015409055999995758,0.011587721000012152,22.0,22.0,0.0,0.004150540000011915,0.00018122200000902922,14.633833890999995
6,0.6387973029999898,0.6387973029999898,0.0002486160000074733,0.5486860900000039,0.5406264610000022,0.5406264610000022,0.5261963139999466,9.074100002237628e-05,0.0010163189999587985,6.383699998480097e-05,6.632899997782715e-05,30.0,24.0,0.0,24.0,6.0,12.762245045,12.744287294000003,12.718319175000005,12.744244764000001,0.002837006999996561,0.030444720000005532,0.012785687000004486,1.6731000002323526e-05,5.965718460000005,5.902529657000002,0.19830064599999275,0.08535044100000277,0.0004323180000085358,2.6556999998206265e-05,0.00010973700000249664,0.20891202900000394,0.3106826480000109,3.805999995165621e-06,2.0968999990600423e-05,9.589000001142267e-06,3.3924999996770566e-05,9.671499999797106e-05,0.0,0.016215561999999295,2.334199999154407e-05,6.591800000421699e-05,1.981399999806399e-05,1.6780999999355117e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.0001562459999888688,2.8298999993126017e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030190386000001013,0.03400687199999197,0.029873429000005558,2.7049999999917418e-05,0.01640711099999237,0.013437307000003784,22.0,22.0,0.0,0.003638596000001826,0.00017788999998913368,13.984468702000001
7,0.5882778530000081,0.5882778530000081,0.00020149600000252121,0.4812664540000071,0.47356729100002326,0.47356729100002326,0.4604419890000173,8.856299999138173e-05,0.0009147160000111398,6.246000003784502e-05,6.485400004407893e-05,27.0,23.0,0.0,23.0,4.0,11.880432071000001,11.859322071000008,11.83054876899999,11.859255925,0.002738934999996445,0.02606479400000694,0.00909129000000064,1.705699999376975e-05,5.517380592999999,5.487744598000006,0.1922078220000003,0.08188133899999173,0.00041832399999464087,2.903499999717951e-05,0.00010567799999705585,0.1992677319999956,0.3133841920000009,5.48200000594079e-06,3.0516999999008476e-05,1.2788999995905215e-05,4.5962999990933895e-05,0.00015561299998978484,0.0,0.01886133700000414,3.351400000894955e-05,0.0001067529999971839,3.259300000024723e-05,2.229300000067269e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00017442499999731353,2.4301999999920554e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029524952000002713,0.035258627000018805,0.029274865999994404,3.828200000555171e-05,0.014169608000003109,0.015065348999996786,22.0,22.0,0.0,0.005531673000007231,0.0002020020000088607,12.985948778000008
8,0.631991038999999,0.631991038999999,0.0003087820000047259,0.456409886000003,0.4493197580000299,0.4493197580000299,0.43648759100000234,8.945000003279802e-05,0.000925875999996606,6.064399998706449e-05,6.174699998950928e-05,27.0,22.0,0.0,22.0,5.0,11.582301668000014,11.562487156000003,11.54012981400001,11.562445206000007,0.002334326999999803,0.028510780000004843,0.01120074899999679,2.067000001204633e-05,5.635059622999989,5.124517718000007,0.17916993199997933,0.08285604400001034,0.00042343999999161497,3.0141999985744405e-05,0.00010563700001853249,0.18690643200000068,0.2888305829999922,3.60199999249744e-06,2.0113000005039794e-05,8.52600001621795e-06,3.093699999112687e-05,8.631400001490874e-05,0.0,0.017763155000011466,2.3397999996177532e-05,6.291700000815581e-05,1.83949999836841e-05,1.4807000013661309e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00014523000001531727,3.516799999658815e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02568597200001932,0.029272866000042086,0.025451500000002625,2.3578999986284543e-05,0.015220647999996118,0.010205275999993546,22.0,22.0,0.0,0.003420094000006202,0.0001668000000165648,12.700752020999985
9,0.5591819079999993,0.5591819079999993,0.00022611200000710596,0.4866764669999952,0.479969032999918,0.479969032999918,0.46729486199993175,8.719499990661461e-05,0.0009561160000544078,5.7806999933518455e-05,6.047400003694747e-05,27.0,23.0,0.0,23.0,4.0,11.144606753999994,11.124435496000018,11.101820941,11.12439497600002,0.0027774440000030154,0.026920142000022906,0.009964545000002545,1.7366999998102983e-05,5.255892211000003,5.074387645999991,0.1762068470000031,0.07755162600000176,0.0004125819999956093,2.353700000412573e-05,0.00010491000000456552,0.19248806999999601,0.2849104670000031,3.7000000077114237e-06,2.0293999995146805e-05,9.010000013631725e-06,3.075000000762884e-05,9.166399999571695e-05,0.0,0.01834320599999728,2.1778999979460423e-05,6.412899998053945e-05,1.9062000006897506e-05,1.3956000003645386e-05,1.0,24.0,1.0,1.0,0.0,1.0,0.0,0.00014378899999201167,2.6963000010482574e-05,0.0,22.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02430100300000504,0.027830373000000463,0.024069287000003214,2.4155999994945887e-05,0.013651587999987669,0.010391924999993307,22.0,22.0,0.0,0.003369292000002133,0.0001600779999932911,12.218944418000007
